,xtr_temp,ytr_temp,xts,yts
0,-1.0050685848601368,125.0,"[[-1.00506833 -1.00506855 -1.00506843 -1.00506843 -1.00506842 -1.00506849
  -1.00506849 -1.00506841 -1.00506853 -1.00506849 -1.0050685  -1.00506841
  -1.00506851 -1.00506846 -1.00506842 -1.00506845 -1.00506847 -1.0050684
  -1.00506843 -1.0050684  -1.00506838 -1.00506843 -1.00506848 -1.00506845
  -1.00506846 -1.00506842 -1.00506849 -1.00506852 -1.00506851 -1.00506837
  -1.0050684 ]
 [-1.02908629 -1.02908607 -1.02908618 -1.02908637 -1.02908616 -1.02908673
  -1.02908643 -1.0290866  -1.02908573 -1.0290863  -1.02908659 -1.02908614
  -1.02908602 -1.02908644 -1.02908633 -1.02908635 -1.02908647 -1.0290862
  -1.02908627 -1.02908612 -1.02908643 -1.02908647 -1.02908614 -1.02908566
  -1.02908649 -1.02908643 -1.0290862  -1.02908566 -1.02908616 -1.02908626
  -1.02908658]
 [-1.04274654 -1.04274676 -1.04274629 -1.04274588 -1.04274624 -1.04274679
  -1.04274601 -1.04274632 -1.04274541 -1.0427465  -1.04274609 -1.04274657
  -1.04274608 -1.04274617 -1.04274649 -1.04274578 -1.04274607 -1.0427461
  -1.04274621 -1.04274634 -1.04274646 -1.04274607 -1.04274679 -1.04274638
  -1.04274638 -1.04274575 -1.04274637 -1.04274629 -1.04274655 -1.04274632
  -1.04274648]
 [-1.01118435 -1.01118415 -1.0111843  -1.01118431 -1.01118429 -1.01118428
  -1.01118435 -1.01118441 -1.01118423 -1.01118427 -1.01118419 -1.01118425
  -1.01118432 -1.01118419 -1.01118429 -1.01118436 -1.01118424 -1.01118443
  -1.01118435 -1.01118426 -1.01118424 -1.01118444 -1.01118411 -1.01118447
  -1.01118437 -1.01118421 -1.01118425 -1.01118441 -1.01118429 -1.0111843
  -1.01118424]
 [-1.02459182 -1.02459177 -1.02459174 -1.02459188 -1.02459189 -1.02459181
  -1.0245918  -1.02459179 -1.02459184 -1.0245918  -1.0245918  -1.02459182
  -1.02459187 -1.02459188 -1.02459179 -1.02459192 -1.02459187 -1.02459184
  -1.02459186 -1.02459193 -1.02459178 -1.02459186 -1.0245918  -1.0245919
  -1.0245919  -1.02459178 -1.02459187 -1.02459175 -1.02459187 -1.02459185
  -1.02459174]
 [-1.03576755 -1.03576685 -1.03576685 -1.03576736 -1.03576729 -1.03576741
  -1.03576729 -1.03576753 -1.03576715 -1.03576769 -1.03576748 -1.03576739
  -1.0357672  -1.03576746 -1.0357672  -1.0357671  -1.03576739 -1.03576699
  -1.03576744 -1.03576694 -1.03576718 -1.03576741 -1.03576758 -1.03576734
  -1.03576715 -1.03576725 -1.03576722 -1.03576791 -1.03576703 -1.03576708
  -1.03576748]
 [-1.00893264 -1.00893254 -1.00893258 -1.00893271 -1.00893254 -1.00893259
  -1.00893257 -1.00893256 -1.00893257 -1.00893258 -1.00893259 -1.00893257
  -1.0089325  -1.00893259 -1.00893271 -1.00893254 -1.00893256 -1.00893255
  -1.00893256 -1.00893252 -1.00893256 -1.0089327  -1.00893258 -1.00893256
  -1.00893252 -1.00893259 -1.00893261 -1.00893261 -1.00893249 -1.00893262
  -1.00893262]
 [-1.03121926 -1.03121959 -1.03121875 -1.03121944 -1.03121929 -1.03121902
  -1.03121945 -1.03121905 -1.03121886 -1.03121921 -1.03121944 -1.03121935
  -1.03121911 -1.03121894 -1.03121912 -1.03121893 -1.03121857 -1.0312189
  -1.03121948 -1.0312192  -1.0312191  -1.03121859 -1.03121918 -1.03121923
  -1.03121932 -1.0312194  -1.03121868 -1.03121871 -1.03121905 -1.03121919
  -1.0312193 ]
 [-1.03373444 -1.03373398 -1.0337338  -1.03373403 -1.03373406 -1.0337343
  -1.03373447 -1.03373389 -1.03373374 -1.03373441 -1.03373386 -1.03373372
  -1.0337338  -1.03373395 -1.03373392 -1.03373441 -1.03373377 -1.03373415
  -1.03373386 -1.03373403 -1.03373415 -1.03373421 -1.03373374 -1.03373421
  -1.03373415 -1.0337347  -1.03373441 -1.03373453 -1.03373398 -1.03373377
  -1.03373459]
 [-1.03156009 -1.03156    -1.03155988 -1.03156009 -1.0315599  -1.03156022
  -1.03155999 -1.03156034 -1.03155971 -1.03156005 -1.03156015 -1.03156004
  -1.03156012 -1.03155969 -1.03156012 -1.03156021 -1.03156025 -1.03155973
  -1.03156006 -1.03156029 -1.03155995 -1.03156007 -1.03156036 -1.03155998
  -1.03156007 -1.03156018 -1.03156    -1.0315602  -1.03156015 -1.03155993
  -1.03156018]]","[[125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125 125
  124 123 122 121 120 119 118 117 116 115 114 113 112]]"
1,-1.029086033490697,,,
2,-1.0427463993659896,,,
3,-1.0111843018148372,,,
4,-1.0245919196370894,,,
5,-1.0357669309587856,,,
6,-1.008932696752028,,,
7,-1.031218913533031,,,
8,-1.033733867474408,,,
9,-1.031559847045793,,,
